"plotID","top_height","ba_ha","lor","qmdbh","dens","AGB_ha","V_ha","Vmerch_ha"
366,22.4,5.64558340878226,18.828951672966,16.9509291780716,250.168098768761,22.4379151107853,43.2314663587754,32.3933410281114
367,30.8,24.4671419948695,17.8341509912757,29.8240554873794,350.235338276265,168.702732010982,194.793262795323,177.837831653742
368,18,39.6240639618228,13.5826588339951,13.0730703926631,2951.98356547138,154.44204690724,244.664741505526,145.828127798234
369,17.4,24.3282491763493,15.1432636216428,11.7293317039899,2251.51288891885,81.1270035538293,161.235716674722,67.6429828723699
370,16,31.9715589004577,13.4636279163522,13.3721212368729,2276.52969879572,114.405104708915,193.415567951919,116.135566215262
371,25.3,22.8030806737589,19.5837056069814,20.0049218081882,725.487486429406,107.996096754519,194.778495151781,170.438506186363
372,23.6,13.0663974083296,18.6243272748598,22.6175391438387,325.218528399389,67.5790669420521,106.638313182058,95.9675939064667
373,24.6,30.4812462275539,18.3291333248246,20.4764465878449,925.621965444414,132.309798178488,235.042100058744,206.10419605707
374,9.1,5.32472901262512,7.38678174491889,15.0278630106435,300.201718522513,26.2112687568635,17.8773335493248,11.9830205071485
375,9.6,0.492402450832453,7.57915087187263,9.13983953177881,75.0504296306282,1.07645485460343,1.88591132841735,0.342574023816076
377,20.0583026887904,35.3973525287963,15.8582289563633,14.7328049660842,2076.39521978071,128.095193171585,243.402460083419,168.272734919434
378,31.9,42.5586536768774,22.7792105678663,26.8702933863154,750.504296306282,242.369242233946,424.104625500263,386.302182950637
379,28.3,35.78308513782,17.498646546522,25.9714444327982,675.453866675654,191.417057409935,270.857253581707,245.581757029398
380,27.2,35.0980128640411,21.5091311440353,20.8731710167067,1025.68920495192,158.344650100027,323.839261890171,288.551855081097
381,33.7,42.1723709194709,21.4087314070495,29.3010443499886,625.420246921902,245.147500867665,397.130241355221,364.426392093894
382,22.8,37.6836316709421,19.0433990016278,15.2011492907292,2076.39521978071,157.59954373337,312.118475432784,232.902819543766
383,22.5,42.9191777010714,17.8605214185948,15.3258057726387,2326.56331854947,173.320303477357,333.464777972034,243.497529787938
384,26,47.0936250377245,19.4247609463599,18.9139725655124,1676.1262617507,220.779200742673,401.011834363891,341.259888829468
385,25.7,59.6380298714854,19.0589728063034,19.3578994626209,2026.36160002696,277.950653540826,497.528810620308,428.80081478338
386,24.3,32.3041432460641,20.2053585192148,15.5494041875641,1701.14307162757,134.593313527186,281.920773142254,209.161193386075
