plotID,avg,std,ske,kur,p05,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p99,d0,d1,d2,d3,d4,cov,dns
245,16.14,4.83,-1.86,5.63,2.7,8.52,13.3,14.51,15.68,16.21,16.63,17.03,17.41,17.72,18.02,18.29,18.57,18.83,19.09,19.36,19.64,19.97,20.43,21.16,4.1,3.6,9.8,62.3,8.8,93.2,88.7
246,13.06,3.31,-0.4,3.53,7.5,9.16,10.07,10.69,11.09,11.51,11.92,12.31,12.64,12.96,13.32,13.72,14.15,14.66,15.34,16.04,16.8,17.6,18.41,19.35,1.3,11.2,51.9,24.5,0.2,94.9,89.2
248,14.27,3.4,-1.14,5.46,7.9,10.42,11.49,12.16,12.78,13.31,13.7,14.08,14.41,14.75,15.1,15.4,15.67,15.99,16.31,16.67,17.13,17.8,19.03,21.15,1.7,4.1,34,32.9,2,85.2,74.7
250,13.62,3.23,-1.01,4.78,7.27,9.8,10.89,11.6,12.15,12.57,12.95,13.3,13.62,13.95,14.29,14.61,14.98,15.36,15.75,16.15,16.64,17.27,18.04,19.57,1.5,6.4,42.5,26.8,0.3,86.5,77.5
251,13.53,4.15,-1.36,4.11,3.65,5.83,9.68,11.45,12.43,13.21,13.66,14.08,14.42,14.71,15.03,15.36,15.66,15.95,16.25,16.56,16.92,17.34,17.9,19.24,4.8,5.4,27.9,32.5,0.2,81.8,70.8
252,14.71,5.27,-0.98,3.05,2.75,6.52,8.74,10.15,11.57,12.91,14.25,14.97,15.65,16.38,16.97,17.5,17.97,18.39,18.72,19.05,19.46,19.98,20.65,21.76,3.8,8.6,15.7,37.7,7.4,82.4,73.2
254,12.59,4.15,-1.69,4.88,1.8,2.96,9.72,11.39,12.1,12.59,12.97,13.32,13.63,13.91,14.15,14.4,14.65,14.89,15.14,15.4,15.67,16.01,16.47,17.37,2.2,3.2,35.7,17.4,0,71.5,58.5
255,14.06,5.09,-1.37,3.58,2.56,3.78,6.07,12.02,13.41,14.19,14.78,15.25,15.59,15.93,16.25,16.55,16.8,17.03,17.26,17.53,17.88,18.39,19,20.1,5.6,2.1,10.3,32.8,0.7,60.6,51.5
256,17.72,5.47,-1.49,4.74,3.5,9.09,12.77,15.75,16.84,17.52,17.96,18.37,18.72,19.04,19.39,19.8,20.21,20.56,21.01,21.49,21.99,22.81,24.07,25.46,3.2,3,5.3,30.8,25.1,79.7,68.7
259,13.82,6.2,-0.43,1.73,3.51,4.74,5.7,6.64,7.67,9.14,10.69,12.72,14.94,16.17,16.9,17.64,18.2,18.71,19.21,19.66,20.07,20.73,21.43,22.32,6.6,15,8.4,26.9,10.9,74.8,67.7
260,14.27,5.96,-1.05,2.9,1.66,2.51,5.06,10.12,12.18,13.71,14.58,15.11,15.55,16.23,16.75,17.23,17.67,18.07,18.5,18.89,19.38,19.93,20.81,22.02,3.6,2.3,9.3,24.9,4.6,49.4,44.7
261,12.03,4.67,-0.52,2.93,2.3,3.68,7.68,9.01,9.74,10.34,11,11.54,12.11,12.52,13,13.45,13.99,14.51,15.15,15.74,16.54,17.74,19.16,20.96,7.3,12.9,39,19.6,2.4,89.5,81.2
262,13.09,5.36,-0.56,2.09,3.17,4.82,6.21,7.46,8.64,9.97,11.27,12.54,13.78,14.85,15.6,16.19,16.66,17.06,17.45,17.87,18.39,18.97,19.71,20.82,5.9,13.8,14.5,32.1,2.6,76.9,68.9
263,11.4,5.14,-0.42,1.96,2.41,3.38,4.34,5.48,7.03,8.46,10.05,11.01,11.91,12.68,13.31,13.9,14.49,15.01,15.5,16.08,16.7,17.41,18.36,19.41,13,14.7,30.6,26.1,0.3,90.9,84.7
264,14.21,5.35,-1,2.92,2.76,4.51,6.91,9.65,11.66,13.33,14.33,15.05,15.62,16.1,16.52,16.86,17.22,17.57,17.94,18.32,18.76,19.25,20.17,21.99,6.5,6.8,14,40.3,4.1,82.5,71.8
266,15.13,4.69,-1.52,4.39,3.46,6.17,10.66,13.05,14.31,15.13,15.64,16.06,16.48,16.79,17.06,17.3,17.54,17.79,18.05,18.32,18.6,18.97,19.61,20.99,6.7,5.2,14.3,63.1,2.9,95.9,92.2
267,16.74,5.21,-0.19,2.4,8.04,9.78,11.11,12.38,13.36,14.08,14.65,15.17,15.65,16.28,17.09,17.92,18.93,20.25,21.5,22.25,22.91,23.63,24.73,25.84,0.9,8.2,24,26.5,23.5,93.3,86.6
